"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test thumbnail upload functionality","5","0","","0"
"0","","0","Test Upload User functionality","4","0","","0"
"0","","0","Test Upload Quiz Functionality","2","0","","0"
"0","","0","Test Upload Categories feature","2","0","","0"
"0","","0","Copy video and check its artifacts","2","0","","0"
"0","","0","Test Upload Podcast Functionality","1","0","","0"
"0","","0","Test Upload Group Functionality","5","0","","0"
"0","","0","Test transcript upload functionality","1","0","","0"
"2","","0","Scorm video embed","0","0","","0"
"0","","0","Test multiple videos upload functionality","1","0","","0"
