"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49933","Test The Reels","","Fri May 16 09:11:36 IST 2025","passed","Fri May 16 09:12:26 IST 2025","","","",""
"","106542","Test the sleek player in reels on Bites page","","Fri May 16 09:24:18 IST 2025","passed","Fri May 16 09:26:05 IST 2025","","","",""
"","84504","Test The Popup Video","","Fri May 16 09:19:33 IST 2025","passed","Fri May 16 09:20:58 IST 2025","","","",""
"","77837","Test The Inline Video","","Fri May 16 09:12:26 IST 2025","passed","Fri May 16 09:13:44 IST 2025","","","",""
"","20813","Test Share Video functionality on Series page","","Fri May 16 09:23:57 IST 2025","passed","Fri May 16 09:24:18 IST 2025","","","",""
"","83504","Test The Popup Video","","Fri May 16 09:13:44 IST 2025","passed","Fri May 16 09:15:07 IST 2025","","","",""
"","91743","Test the sleek player on Series page","","Fri May 16 09:22:25 IST 2025","passed","Fri May 16 09:23:57 IST 2025","","","",""
"","87504","Test the video on home page","","Fri May 16 09:20:58 IST 2025","passed","Fri May 16 09:22:25 IST 2025","","","",""
"","56758","Test The Reels","","Fri May 16 09:26:05 IST 2025","passed","Fri May 16 09:27:01 IST 2025","","","",""
"","88136","Test The Inline Video","","Fri May 16 09:15:07 IST 2025","passed","Fri May 16 09:16:35 IST 2025","","","",""
"","81308","Test The Inline Video","","Fri May 16 09:18:12 IST 2025","passed","Fri May 16 09:19:33 IST 2025","","","",""
"","96897","Test The Popup Video","","Fri May 16 09:16:35 IST 2025","passed","Fri May 16 09:18:12 IST 2025","","","",""
